ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.891.581.612.390,C3sdPB2y67uSXRGHrb,192.168.0.66,35073,192.168.0.4,1700,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.612.390,CYqbZ4PDaTblmWQ1j,192.168.0.66,35073,192.168.0.4,11967,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.612.390,CoVHQAwe2bkQ7Z8V8,192.168.0.66,35073,192.168.0.4,3390,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.612.390,CNgtvd1CEsG5f8ZRRk,192.168.0.66,35073,192.168.0.4,7019,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.612.390,CKnPOu2eWtjtT45sha,192.168.0.66,35073,192.168.0.4,1069,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.614.530,CAlsbq2DwBFpVhcEt2,192.168.0.66,35073,192.168.0.4,5850,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.614.530,ClzCmFudeKm6soGf2,192.168.0.66,35073,192.168.0.4,60443,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.614.530,C2AtxC2DonARiNRPsf,192.168.0.66,35073,192.168.0.4,3493,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.614.530,CX1MyoAOl9b0sbcD1,192.168.0.66,35073,192.168.0.4,808,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.614.530,CNLdiX1K7RGFYUxxWb,192.168.0.66,35073,192.168.0.4,3071,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.614.540,C8i9ef4MieTNrxmgx3,192.168.0.66,35073,192.168.0.4,125,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.614.800,C6whi02geQiPzS8Nn,192.168.0.66,35073,192.168.0.4,49167,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.616.730,CFgknh1gTwHDiAEZja,192.168.0.66,35075,192.168.0.4,259,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.710.440,CVt0hc3oq3tVZ3pNl6,192.168.0.66,35075,192.168.0.4,5859,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.710.640,CMQsNG2YTjY5V1K0fe,192.168.0.66,35075,192.168.0.4,544,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.710.640,CW3GpA38qtVOOgRyXi,192.168.0.66,35075,192.168.0.4,5678,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.710.640,CXPHYXJcS97hvFyph,192.168.0.66,35075,192.168.0.4,5298,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
